GEOID,NAME,TotalE,TotalM,PovertyE,PovertyM,median_incomeE,median_incomeM,pct_pov,median_income
36111950300,"Census Tract 9503, Ulster County, New York",4604,275,455,300,27454,2669,9.88271068635969,27454
36111952300,"Census Tract 9523, Ulster County, New York",1729,205,176,141,34417,6771,10.1792943898207,34417
36113070200,"Census Tract 702, Warren County, New York",1981,217,578,147,,,29.1771832407875,
36115080300,"Census Tract 803, Washington County, New York",5428,45,546,231,,,10.0589535740604,
36117020201,"Census Tract 202.01, Wayne County, New York",4566,154,203,104,,,4.44590451160753,
36117990100,"Census Tract 9901, Wayne County, New York",0,11,0,11,,,,
36119000202,"Census Tract 2.02, Westchester County, New York",4084,509,640,331,,,15.6709108716944,
36119001000,"Census Tract 10, Westchester County, New York",1800,269,861,261,,,47.8333333333333,
36119001700,"Census Tract 17, Westchester County, New York",7619,672,509,277,,,6.68066675416721,
36119002106,"Census Tract 21.06, Westchester County, New York",2739,248,284,136,,,10.3687477181453,
36119002202,"Census Tract 22.02, Westchester County, New York",4750,358,259,156,57386,10452,5.45263157894737,57386
36119002600,"Census Tract 26, Westchester County, New York",4095,416,757,327,,,18.4859584859585,
36119003900,"Census Tract 39, Westchester County, New York",3238,365,107,61,,,3.30450895614577,
36119005300,"Census Tract 53, Westchester County, New York",5430,142,146,85,,,2.68876611418048,
36119007700,"Census Tract 77, Westchester County, New York",4888,293,317,219,,,6.48527004909984,
36119009100,"Census Tract 91, Westchester County, New York",5722,500,605,258,,,10.5732261447046,
36119012501,"Census Tract 125.01, Westchester County, New York",3003,192,65,64,,,2.16450216450216,
36119014811,"Census Tract 148.11, Westchester County, New York",5971,371,101,63,52000,10547,1.6915089599732,52000
36121970900,"Census Tract 9709, Wyoming County, New York",1925,147,115,49,26753,2219,5.97402597402597,26753
36007001400,"Census Tract 14, Broome County, New York",5215,851,2255,746,16142,2799,43.2406519654842,16142
36007013000,"Census Tract 130, Broome County, New York",4189,295,175,127,34088,4374,4.1776080210074,34088
36007014100,"Census Tract 141, Broome County, New York",3336,286,341,192,28914,3341,10.2218225419664,28914
36007014302,"Census Tract 143.02, Broome County, New York",8953,531,901,292,3354,484,10.0636658103429,3354
36009940200,"Census Tract 9402, Cattaraugus County, New York",0,11,0,11,,,,
36009961500,"Census Tract 9615, Cattaraugus County, New York",2004,263,329,135,,,16.4171656686627,
36011040400,"Census Tract 404, Cayuga County, New York",4400,20,468,199,27142,2306,10.6363636363636,27142
36011041400,"Census Tract 414, Cayuga County, New York",4588,427,796,303,23295,3338,17.3496076721883,23295
36011042100,"Census Tract 421, Cayuga County, New York",4295,379,945,335,,,22.0023282887078,
36013035600,"Census Tract 356, Chautauqua County, New York",3348,232,783,231,,,23.3870967741936,
36013037100,"Census Tract 371, Chautauqua County, New York",3840,137,366,170,,,9.53125,
36017970300,"Census Tract 9703, Chenango County, New York",3933,273,627,212,27351,2175,15.9420289855072,27351
36019100400,"Census Tract 1004, Clinton County, New York",7241,157,759,170,25646,2442,10.4819776273995,25646
36019102200,"Census Tract 1022, Clinton County, New York",3343,256,1106,227,20091,3871,33.084056236913,20091
36021000700,"Census Tract 7, Columbia County, New York",5317,26,395,199,27471,4954,7.42900131653188,27471
36021001600,"Census Tract 16, Columbia County, New York",3574,18,492,301,,,13.7660884163402,
36023970600,"Census Tract 9706, Cortland County, New York",3009,288,490,163,20764,1408,16.2844798936524,20764
36023970900,"Census Tract 9709, Cortland County, New York",4706,401,1270,377,19394,2885,26.9868253293668,19394
36025970900,"Census Tract 9709, Delaware County, New York",1550,422,0,11,3222,777,0,3222
36001001100,"Census Tract 11, Albany County, New York",1218,213,522,206,13105,1979,42.8571428571429,13105
36001001500,"Census Tract 15, Albany County, New York",4614,582,1595,490,,,34.5687039445167,
36001001901,"Census Tract 19.01, Albany County, New York",2544,259,300,191,36109,6660,11.7924528301887,36109
36001013400,"Census Tract 134, Albany County, New York",2053,253,264,147,30188,7288,12.8592303945446,30188
36001013706,"Census Tract 137.06, Albany County, New York",2165,159,80,64,46814,6210,3.69515011547344,46814
36001014503,"Census Tract 145.03, Albany County, New York",2820,18,94,43,40351,5141,3.33333333333333,40351
36005001600,"Census Tract 16, Bronx County, New York",5879,529,1481,455,,,25.1913590746726,
36005002000,"Census Tract 20, Bronx County, New York",8516,990,4521,882,12885,2957,53.088304368248,12885
36005002500,"Census Tract 25, Bronx County, New York",5355,470,2686,507,15084,2522,50.1587301587302,15084
36005003700,"Census Tract 37, Bronx County, New York",246,102,107,71,,,43.4959349593496,
36005005002,"Census Tract 50.02, Bronx County, New York",5650,610,2556,562,14712,2756,45.2389380530974,14712
36005006200,"Census Tract 62, Bronx County, New York",7610,801,2641,646,14127,4390,34.7043363994744,14127
36005006800,"Census Tract 68, Bronx County, New York",3288,426,740,300,,,22.5060827250608,
36005007400,"Census Tract 74, Bronx County, New York",3635,427,700,307,25342,5864,19.2572214580468,25342
36005008600,"Census Tract 86, Bronx County, New York",3874,381,1513,363,12822,2059,39.0552400619515,12822
36005011000,"Census Tract 110, Bronx County, New York",153,103,32,31,,,20.9150326797386,
36005012500,"Census Tract 125, Bronx County, New York",4272,371,1832,383,16828,1534,42.8838951310861,16828
36005014100,"Census Tract 141, Bronx County, New York",5355,439,1392,336,18774,2929,25.9943977591036,18774
36005014702,"Census Tract 147.02, Bronx County, New York",5243,492,3021,624,,,57.6196833873737,
36005018302,"Census Tract 183.02, Bronx County, New York",4078,424,1486,463,,,36.4394310936734,
36005019500,"Census Tract 195, Bronx County, New York",7622,649,2569,658,15268,2122,33.7050642875886,15268
36005020501,"Census Tract 205.01, Bronx County, New York",7030,549,2500,588,16290,2502,35.5618776671408,16290
36005021301,"Census Tract 213.01, Bronx County, New York",1194,105,576,137,,,48.2412060301508,
36005021601,"Census Tract 216.01, Bronx County, New York",4137,442,1766,414,17080,2274,42.6879381194102,17080
36005022101,"Census Tract 221.01, Bronx County, New York",3884,396,1623,472,14991,2569,41.7868177136972,14991
36005022403,"Census Tract 224.03, Bronx County, New York",3502,401,876,350,18919,7693,25.0142775556825,18919
36005023301,"Census Tract 233.01, Bronx County, New York",4356,439,1584,399,16010,2776,36.3636363636364,16010
36005023704,"Census Tract 237.04, Bronx County, New York",3717,460,2044,590,15202,3532,54.9905838041431,15202
36005024400,"Census Tract 244, Bronx County, New York",2551,270,252,125,35221,6559,9.87847902783222,35221
36005025700,"Census Tract 257, Bronx County, New York",1728,355,484,159,,,28.0092592592593,
36005026602,"Census Tract 266.02, Bronx County, New York",5769,645,1128,354,27785,3169,19.5527821112845,27785
36005029301,"Census Tract 293.01, Bronx County, New York",1989,197,187,153,,,9.4017094017094,
36005031000,"Census Tract 310, Bronx County, New York",4869,531,435,309,,,8.93407270486753,
36005031900,"Census Tract 319, Bronx County, New York",645,146,59,81,,,9.14728682170543,
36005033000,"Census Tract 330, Bronx County, New York",5697,660,1474,522,,,25.8732666315605,
36005033800,"Census Tract 338, Bronx County, New York",4247,398,1408,409,18814,3875,33.152813750883,18814
36005036000,"Census Tract 360, Bronx County, New York",3063,301,225,132,31581,4573,7.34573947110676,31581
36005036700,"Census Tract 367, Bronx County, New York",2709,261,1236,273,12287,1991,45.62569213732,12287
36005037300,"Census Tract 373, Bronx County, New York",5463,494,2034,422,17567,4515,37.2322899505766,17567
36005038200,"Census Tract 382, Bronx County, New York",2666,301,589,197,,,22.093023255814,
36005041300,"Census Tract 413, Bronx County, New York",7561,652,1632,539,,,21.5844465017855,
36005042901,"Census Tract 429.01, Bronx County, New York",4055,470,1253,383,19849,2793,30.9001233045623,19849
36005044400,"Census Tract 444, Bronx County, New York",3576,376,604,233,28149,5611,16.8903803131991,28149
36005045102,"Census Tract 451.02, Bronx County, New York",1893,273,87,53,,,4.59587955625991,
36007000200,"Census Tract 2, Broome County, New York",3049,364,1091,333,,,35.7822236798951,
36047038300,"Census Tract 383, Kings County, New York",4655,600,694,316,30094,6524,14.9087003222342,30094
36047039300,"Census Tract 393, Kings County, New York",3444,431,849,312,25088,3657,24.6515679442509,25088
36047039800,"Census Tract 398, Kings County, New York",2859,293,496,213,21325,2942,17.3487233298356,21325
36047040400,"Census Tract 404, Kings County, New York",2451,278,365,138,,,14.8918808649531,
36047041500,"Census Tract 415, Kings County, New York",4478,494,840,338,24296,5059,18.7583742742296,24296
36047042100,"Census Tract 421, Kings County, New York",4016,514,986,345,20658,4328,24.5517928286853,20658
36047042600,"Census Tract 426, Kings County, New York",4408,408,774,284,,,17.5589836660617,
36047043300,"Census Tract 433, Kings County, New York",4601,520,1250,370,21351,2513,27.1680069550098,21351
36047044000,"Census Tract 440, Kings County, New York",2943,277,745,261,,,25.3143051308189,
36047044600,"Census Tract 446, Kings County, New York",2021,252,355,150,,,17.5655616031668,
36047045400,"Census Tract 454, Kings County, New York",1896,229,422,190,,,22.2573839662447,
36047049900,"Census Tract 499, Kings County, New York",1728,152,109,73,,,6.30787037037037,
36047050600,"Census Tract 506, Kings County, New York",5740,515,1211,439,,,21.0975609756098,
36047051100,"Census Tract 511, Kings County, New York",3798,331,1108,307,20866,2023,29.1732490784624,20866
36081036800,"Census Tract 368, Queens County, New York",2446,268,175,98,33355,5585,7.1545380212592,33355
36081037900,"Census Tract 379, Queens County, New York",7287,842,1635,549,18719,1963,22.4372169617126,18719
36081038400,"Census Tract 384, Queens County, New York",2420,295,225,160,27253,4368,9.29752066115702,27253
36081044601,"Census Tract 446.01, Queens County, New York",3119,456,597,211,24006,5417,19.1407502404617,24006
36081045000,"Census Tract 450, Queens County, New York",1902,366,174,128,,,9.14826498422713,
36081046000,"Census Tract 460, Queens County, New York",5817,509,1816,510,,,31.2188413271446,
36081048400,"Census Tract 484, Queens County, New York",4977,642,419,205,,,8.41872614024513,
36081049600,"Census Tract 496, Queens County, New York",3110,240,320,154,,,10.2893890675241,
36081050202,"Census Tract 502.02, Queens County, New York",1357,202,93,58,25875,6875,6.85335298452469,25875
36081051500,"Census Tract 515, Queens County, New York",2693,244,274,191,37864,9311,10.1745265503156,37864
36081052200,"Census Tract 522, Queens County, New York",1854,184,127,84,37742,8379,6.85005393743258,37742
36081053200,"Census Tract 532, Queens County, New York",1699,253,84,59,32162,5970,4.94408475573867,32162
36081054500,"Census Tract 545, Queens County, New York",3813,418,757,274,27230,2497,19.8531340152111,27230
36081055400,"Census Tract 554, Queens County, New York",2344,223,209,122,28984,6180,8.91638225255973,28984
36047052800,"Census Tract 528, Kings County, New York",1843,163,179,132,36984,4911,9.71242539338036,36984
36047053500,"Census Tract 535, Kings County, New York",4326,463,2678,568,14221,1266,61.9047619047619,14221
36047053900,"Census Tract 539, Kings County, New York",2638,175,1420,275,13618,2308,53.8286580742987,13618
36047054800,"Census Tract 548, Kings County, New York",2193,214,287,191,,,13.0870953032376,
36047055400,"Census Tract 554, Kings County, New York",4028,399,858,324,29063,5777,21.3008937437934,29063
36047056000,"Census Tract 560, Kings County, New York",3681,346,671,319,,,18.2287421896224,
36047056500,"Census Tract 565, Kings County, New York",3125,328,310,137,,,9.92,
36047057300,"Census Tract 573, Kings County, New York",2375,283,428,242,,,18.0210526315789,
36047059100,"Census Tract 591, Kings County, New York",3818,339,380,177,46916,3810,9.95285489785228,46916
36047060600,"Census Tract 606, Kings County, New York",2482,258,642,190,,,25.8662369057212,
36047063600,"Census Tract 636, Kings County, New York",1349,142,44,44,42396,10379,3.26167531504818,42396
36047065200,"Census Tract 652, Kings County, New York",1241,179,71,79,50820,10634,5.72119258662369,50820
36047067400,"Census Tract 674, Kings County, New York",1938,233,76,63,31627,4547,3.92156862745098,31627
36047068800,"Census Tract 688, Kings County, New York",1863,197,40,33,,,2.14707461084273,
36081055900,"Census Tract 559, Queens County, New York",1401,238,373,174,29318,6728,26.6238401142041,29318
36081056600,"Census Tract 566, Queens County, New York",1703,216,140,96,24232,4042,8.22078684674104,24232
36081059000,"Census Tract 590, Queens County, New York",1428,169,201,140,,,14.0756302521008,
36081059800,"Census Tract 598, Queens County, New York",1727,195,98,64,35082,3992,5.67458019687319,35082
36081061302,"Census Tract 613.02, Queens County, New York",15,11,0,11,48750,5552,0,48750
36081061900,"Census Tract 619, Queens County, New York",2738,465,356,172,32746,7045,13.0021913805698,32746
36081062600,"Census Tract 626, Queens County, New York",3096,281,219,125,39160,2333,7.07364341085271,39160
36081063301,"Census Tract 633.01, Queens County, New York",1450,164,116,69,,,8,
36081064500,"Census Tract 645, Queens County, New York",1948,193,165,82,,,8.47022587268994,
36081066100,"Census Tract 661, Queens County, New York",1469,161,90,55,,,6.12661674608577,
36081071702,"Census Tract 717.02, Queens County, New York",3865,322,589,252,,,15.2393272962484,
36081072300,"Census Tract 723, Queens County, New York",1965,207,45,28,59000,8137,2.29007633587786,59000
36081075701,"Census Tract 757.01, Queens County, New York",5053,449,289,169,46806,7766,5.71937462893331,46806
36081077903,"Census Tract 779.03, Queens County, New York",3130,439,253,148,,,8.08306709265176,
36047072600,"Census Tract 726, Kings County, New York",2110,270,89,61,37813,4100,4.21800947867299,37813
36047073600,"Census Tract 736, Kings County, New York",3624,419,743,359,,,20.5022075055188,
36047074800,"Census Tract 748, Kings County, New York",1906,233,594,249,,,31.1647429171039,
36047075400,"Census Tract 754, Kings County, New York",1573,263,459,297,35571,9316,29.1799109980928,35571
36047077200,"Census Tract 772, Kings County, New York",2917,389,448,288,,,15.3582447720261,
36047083000,"Census Tract 830, Kings County, New York",6023,572,664,254,27277,3589,11.0244064419724,27277
36047085800,"Census Tract 858, Kings County, New York",2378,275,358,153,25567,2497,15.0546677880572,25567
36047087401,"Census Tract 874.01, Kings County, New York",3122,322,975,315,17646,4748,31.2299807815503,17646
36047088800,"Census Tract 888, Kings County, New York",4274,383,749,360,,,17.5245671502106,
36047091200,"Census Tract 912, Kings County, New York",6627,721,3291,948,11108,1843,49.6604798551381,11108
36047092400,"Census Tract 924, Kings County, New York",3420,485,712,309,,,20.8187134502924,
